,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24
Robin_office_Lindsay,0.0,0.9999274057852856,0.0,0.0,0.0,0.0,1.0949160543790307e-13,0.0,1.7310448079103813e-73,0.0,0.0,4.505297775729643e-07,8.652158580159416e-120,2.4024430899026197e-24,0.0,0.0,0.0,0.0,0.0,4.72259767e-316,0.0,7.21436848273964e-05,0.0,0.0,0.0
Robin_education_Takako,0.0,0.9999997763210563,0.0,0.0,0.0,0.0,2.0955771895721755e-07,0.0,1.333668271281825e-97,0.0,0.0,1.895134587815877e-16,8.132362895059852e-134,2.856355535963338e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412122358929939e-08,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,7.125611583329958e-53,0.0,0.0,0.0,0.0,2.1538643921766714e-27,0.0,1.82098520955024e-08,0.0,0.0,1.2583329401298661e-22,9.637766694062517e-288,0.9999845697475372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5412042611186e-05,0.0,0.0,0.0
Robin_office_Victor,0.0,4.477697290211877e-08,0.0,0.0,0.0,0.0,1.1245207752612925e-15,0.0,4.943310428796952e-37,0.0,0.0,3.509725217719705e-08,7.98018959459554e-176,1.7782059495985048e-12,0.0,0.0,0.0,0.0,0.0,1.6290911015783034e-173,0.0,0.9999999201239961,0.0,0.0,0.0
Robin_education_Margarito,4.362228611797974e-223,5.7722436223378796e-33,0.0,1.0,0.0,0.0,7.522049820515386e-22,0.0,4.941219162353066e-200,0.0,0.0,1.1004780389965316e-179,6.451918440770476e-103,1.992943565687997e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5506813218185972e-56,0.0,0.0,0.0
Robin_public_Cami,0.0,8.670615823618577e-65,0.0,0.0,0.0,0.0,4.148860975559525e-25,0.0,2.3394904692860045e-41,0.0,0.0,2.1704723222839433e-23,2.622662323720921e-200,0.9999999160173125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.398268696186297e-08,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.9999179865538199,0.0,0.0,0.0,0.0,1.4200120526825518e-07,0.0,6.269137147590241e-80,0.0,0.0,3.052091429255086e-06,2.1039589280662616e-162,4.338647223636203e-32,0.0,0.0,0.0,0.0,0.0,4.9759107515736677e-234,0.0,7.881935354616274e-05,0.0,0.0,0.0
Robin_education_Billi,0.0,2.543127728557675e-37,0.0,0.0,0.0,0.0,1.3121297378495285e-19,0.0,1.7349984501470268e-29,0.0,0.0,3.769849965922837e-14,1.3035049137497526e-293,0.9991124047084625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008875952915006613,0.0,0.0,0.0
Robin_lodging_Celia,0.0,9.419779445485898e-60,0.0,0.0,0.0,0.0,2.6821699369216267e-29,0.0,3.5989455683823195e-14,0.0,0.0,2.7476908936417025e-32,2.8166442260373858e-300,0.9999569356633518,0.0,0.0,0.0,0.0,0.0,3.7937271361008637e-94,0.0,4.306433661276418e-05,0.0,0.0,0.0
Robin_office_Donald,0.0,2.5186982234529097e-05,0.0,0.0,0.0,0.0,0.9999748130172645,0.0,2.7510652474716566e-82,0.0,0.0,1.194876705540183e-41,9.92495902326968e-126,9.494917421534454e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.008438423390347e-13,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,1.554442596374614e-52,0.0,0.0,0.0,0.0,1.2497396721957285e-22,0.0,2.4089530880085016e-19,0.0,0.0,1.5570075330170512e-16,6.1903206816404195e-214,0.9999226370616768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73629383233051e-05,0.0,0.0,0.0
Robin_office_Soledad,0.0,1.324871101220876e-12,0.0,0.0,0.0,0.0,4.74229486721479e-24,0.0,6.600401399399698e-26,0.0,0.0,0.9903751090164741,9.488725467000347e-248,3.491985292778204e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00962489098216528,0.0,0.0,0.0
Robin_education_Audrea,0.0,1.1619320842083395e-42,0.0,0.0,0.0,0.0,4.9620934149386764e-64,0.0,4.611415076360137e-120,0.0,0.0,5.382971561735742e-81,9.237364950363437e-110,6.51553636043248e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.870674439984183e-49,0.0,1.0,0.0
Robin_office_Saul,0.0,0.004429683903729811,0.0,0.0,0.0,0.0,5.134826593337576e-17,0.0,1.159846351138068e-81,0.0,0.0,0.9955703116232728,2.2828794345603092e-182,1.697947011827971e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472997754837263e-09,0.0,0.0,0.0
Robin_lodging_Donna,0.0,2.801390234798769e-16,0.0,0.0,0.0,0.0,1.7011076144048746e-22,0.0,4.75141788319388e-10,0.0,0.0,6.29400707578125e-08,1.3612543774466706e-182,4.2596837327252446e-07,0.0,0.0,0.0,0.0,0.0,1.3210920380989823e-211,0.0,0.9999995106164147,0.0,0.0,0.0
Robin_office_Antonina,8.056530339811217e-139,1.2398030459806725e-61,0.0,0.0,0.0,0.0,1.2702370596415617e-58,0.0,1.0179090236321477e-124,0.0,0.0,2.149519028862989e-212,5.156869648642371e-147,1.1863461062028118e-68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0261954690035069e-92,0.0,0.0,0.0
Robin_office_Erma,0.0,2.9372473279977236e-21,0.0,0.0,0.0,0.0,4.4476327021803515e-40,0.0,8.160660891647683e-44,0.0,0.0,1.4345144986856903e-25,0.0,1.2041085504047603e-11,0.0,0.0,0.0,0.0,0.0,3.873100952143147e-113,0.0,0.9999999999879599,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.9999999828424199,0.0,0.0,0.0,0.0,8.675700525887127e-13,0.0,1.0588102488012438e-109,0.0,0.0,5.256993010368124e-21,2.0989428211984425e-81,1.058877282739187e-27,0.0,0.0,0.0,0.0,0.0,7.48793290098158e-235,0.0,1.715671186513398e-08,0.0,0.0,0.0
Robin_lodging_Renea,0.0,7.832078333137933e-37,0.0,0.0,0.0,0.0,9.739343076169564e-19,0.0,0.9999996713990222,0.0,0.0,3.953681223348893e-29,1.136193388483021e-190,3.2525867734622843e-07,0.0,0.0,0.0,0.0,0.0,1.1338211497276749e-164,0.0,3.3423002956965925e-09,0.0,0.0,0.0
Robin_lodging_Armand,0.0,8.126332951383998e-08,0.0,0.0,0.0,0.0,4.931037644798212e-18,0.0,5.0947961458969366e-24,0.0,0.0,7.393945957932843e-10,1.5330093615818822e-147,5.442668741039931e-13,0.0,0.0,0.0,0.0,0.0,2.7736049386155397e-115,0.0,0.9999999179967316,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0011026054317283583,0.0,0.0,0.0,0.0,8.598700719116748e-22,0.0,1.0362734993686305e-50,0.0,0.0,0.9988888529238442,6.428383218876e-162,5.002466620178043e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.541644427469785e-06,0.0,0.0,0.0
Robin_lodging_Janie,0.0,3.4629374367091765e-29,0.0,0.0,0.0,0.0,2.6086882804009155e-19,0.0,5.24333448871779e-55,0.0,0.0,3.697737493603172e-64,7.275304043106624e-305,1.2264963629418967e-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6181877054266912e-17,0.0,0.0,0.0
Shrew_office_Sherill,1.0,2.98883949431676e-82,0.0,0.0,0.0,0.0,4.2479506039532506e-65,0.0,1.3763008159619906e-305,0.0,0.0,0.0,0.0,1.3067366204622182e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7102141772045706e-101,0.0,0.0,0.0
Shrew_office_Rose,0.0,3.587234732850817e-06,0.0,0.0,0.0,0.0,2.236918497306399e-23,0.0,7.445735418158851e-39,0.0,0.0,2.4472252105082888e-11,6.072601611679316e-216,9.354782456860887e-14,0.0,0.0,0.0,0.0,0.0,2.197912785188307e-131,0.0,0.9999964127407017,0.0,0.0,0.0
Shrew_office_Nora,0.0,4.0066814140924804e-133,0.0,0.0,0.0,0.0,1.4761183287763516e-69,0.0,3.1198851719938373e-119,0.0,0.0,1.1286672342369826e-305,0.0,5.100121182144119e-56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.234587517597052e-78,0.0,0.0,0.0
Shrew_office_Katherine,0.0,6.922938903841042e-62,0.0,0.0,0.0,0.0,6.449908232585783e-66,0.0,4.624987714094326e-165,0.0,0.0,1.0506069410042965e-71,0.0,1.238185929729577e-97,0.0,0.0,0.0,0.0,1.0,6.682040490586906e-91,0.0,3.847390740253381e-74,0.0,0.0,0.0
