,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
Robin_office_Lindsay,0.0,0.0,3.8031022668513665e-13,0.0,5.330232910078855e-23,0.0,0.9767035658986106,0.0,0.0,0.0,0.0,0.0,0.023295489937817177,9.441631915369395e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.64049885e-315,4.435446811403947e-50,0.0,1.1746370211546805e-35,0.0,0.0
Robin_education_Takako,0.0,0.0,1.405925234442884e-07,0.0,5.7722904545947e-21,0.0,0.9999996378718395,0.0,0.0,0.0,0.0,0.0,2.215356056399506e-07,3.110248064608919e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.765948245857572e-42,0.0,3.562012886911123e-44,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,5.595007902037002e-28,0.0,0.9951853271669028,0.0,7.598408147311389e-51,0.0,0.0,0.0,0.0,0.0,1.3514440962596796e-19,0.0048146728330976055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.824325538120556e-72,0.0,9.777975161124442e-41,0.0,0.0
Robin_office_Victor,0.0,0.0,2.4629617553871826e-15,0.0,7.423819996771307e-13,0.0,5.737455667180368e-08,0.0,0.0,0.0,0.0,0.0,0.11670097249640389,0.8832989701282944,0.0,0.0,0.0,0.0,0.0,0.0,3.568510794791678e-173,2.5853447374258452e-51,0.0,5.658091952423176e-49,0.0,0.0
Robin_education_Margarito,0.0,0.0,5.533911013291451e-48,0.0,1.739841045726288e-95,0.0,6.141896617451853e-73,0.0,0.0,0.0,1.0,0.0,6.859332469605873e-112,5.2536075364145504e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4430813879813184e-37,0.0,1.2361908609454e-310,0.0,0.0
Robin_public_Cami,0.0,0.0,2.6052916701573115e-25,0.0,1.18984094365684e-06,0.0,4.7995476281800876e-61,0.0,0.0,0.0,0.0,0.0,6.156775531217563e-18,0.9999988101590569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4509968567635284e-69,0.0,2.345669408939144e-127,0.0,0.0
Robin_education_Kristopher,0.0,0.0,3.175575452734308e-08,0.0,2.3260723216683575e-08,0.0,0.9985422612497601,0.0,0.0,0.0,0.0,0.0,0.0014576834379464762,2.958160257274706e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.112848587951628e-234,7.087641654241319e-46,0.0,9.249772711308535e-50,0.0,0.0
Robin_education_Billi,0.0,0.0,9.469449107704381e-21,0.0,5.4138345474511416e-11,0.0,7.431491377617253e-37,0.0,0.0,0.0,0.0,0.0,1.159883977167918e-11,0.9999999999342624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167383403818332e-62,0.0,3.74627322952441e-114,0.0,0.0
Robin_lodging_Celia,0.0,0.0,1.3765126435627624e-30,0.0,0.9999972431919758,0.0,1.4205234346764185e-58,0.0,0.0,0.0,0.0,0.0,2.4687092571861376e-22,2.756808023560373e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.9475968351397033e-95,2.1452089145249299e-88,0.0,1.5900320559386784e-30,0.0,0.0
Robin_office_Donald,0.0,0.0,0.9999987165204093,0.0,8.08497961816875e-24,0.0,1.2834795887014277e-06,0.0,0.0,0.0,0.0,0.0,5.034969369828139e-18,2.0660175819925708e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61646190015808e-23,0.0,1.044372998790074e-53,0.0,0.0
