,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23
Robin_office_Donald,0.9999999298425439,0.0,0.0,7.015737566485947e-08,0.0,0.0,0.0,0.0,3.6501985782017826e-126,8.073436160099098e-14,0.0,2.905091032260804e-32,0.0,0.0,1.5702718341290344e-17,0.0,0.0,0.0,1.1799716876981164e-31,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,1.8693275169770084e-38,0.0,0.0,6.22983099452386e-11,0.0,0.0,0.0,0.0,1.5095583710340356e-213,0.9995112297087339,0.0,0.0004887486229245585,0.0,0.0,2.1606043757647137e-08,0.0,0.0,0.0,1.7845946262804537e-69,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,1.1123062642286846e-50,0.0,0.0,1.1717163324780587e-09,0.0,0.0,0.0,0.0,4.43435176370338e-247,0.0037950239399893422,0.0,1.1972622004308323e-13,0.0,0.0,0.9962049748881754,0.0,0.0,0.0,7.672048473167408e-104,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,5.112558079978794e-62,0.0,0.0,1.3328590185393856e-39,0.0,0.0,0.0,0.0,9.237364950341122e-110,4.236843790736677e-51,0.0,6.612662698121583e-62,0.0,0.0,2.9713155072326557e-52,0.0,0.0,0.0,7.726718210036257e-57,0.0,0.0,0.0,0.0,1.0
Robin_office_Saul,2.4437182115239627e-42,0.0,0.0,5.3944711016978704e-08,0.0,0.0,0.0,0.0,3.595037545112006e-182,4.137111899169957e-10,0.0,1.848031051570661e-27,0.0,0.0,0.9999999456415779,0.0,0.0,0.0,7.343474433013393e-38,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,3.596700055042322e-48,0.0,0.0,2.635964118724209e-07,0.0,0.0,0.0,0.0,1.1670055760291518e-182,0.0018361084081009585,0.0,0.000298383430256872,0.0,0.0,0.9978652445652302,0.0,0.0,0.0,4.152867377810964e-62,0.0,1.1325743375567907e-211,0.0,0.0,0.0
Robin_office_Antonina,6.990178385741547e-75,0.0,0.0,9.054505987889889e-86,0.0,0.0,0.0,0.0,5.156869648588141e-147,3.442131376219106e-88,0.0,3.101499425133658e-85,0.0,0.0,5.6805498037083714e-108,0.0,0.0,0.0,8.403939911496113e-43,1.0,0.0,0.0,0.0,0.0
Robin_office_Erma,2.576263072357386e-65,0.0,0.0,5.9824162567865e-11,0.0,0.0,0.0,0.0,0.0,0.9999999784152538,0.0,3.5461064753395923e-13,0.0,0.0,2.152456901595948e-08,0.0,0.0,0.0,1.4920775844514826e-98,0.0,6.356784334998316e-113,0.0,0.0,0.0
Robin_office_Zelma,8.359965308938825e-23,0.0,0.0,0.9999999956133276,0.0,0.0,0.0,0.0,4.32647487791145e-81,2.0684345038907643e-11,0.0,5.435799135784e-38,0.0,0.0,9.228518891679262e-10,0.0,0.0,0.0,3.4431367674692418e-09,0.0,1.5434605103652463e-234,0.0,0.0,0.0
Robin_lodging_Renea,6.519816724433376e-24,0.0,0.0,3.9599402546780897e-07,0.0,0.0,0.0,0.0,1.943998844976868e-188,1.0922650381223945e-08,0.0,0.9999995916650092,0.0,0.0,1.4183158774083993e-09,0.0,0.0,0.0,2.5367656370315375e-68,0.0,1.9399400029028003e-162,0.0,0.0,0.0
Robin_lodging_Armand,3.179465289711968e-39,0.0,0.0,0.00014223379920180754,0.0,0.0,0.0,0.0,8.26487126876837e-148,0.00018087498076021905,0.0,6.319537320152491e-10,0.0,0.0,0.9996768905880838,0.0,0.0,0.0,5.174648358917275e-41,0.0,1.4953260131180243e-115,0.0,0.0,0.0
Robin_education_Karyl,1.3271726905643587e-43,0.0,0.0,5.101232857484909e-06,0.0,0.0,0.0,0.0,4.604101093602672e-161,1.4199592654043895e-06,0.0,1.6068899484788707e-21,0.0,0.0,0.9999934788078769,0.0,0.0,0.0,4.521816040734656e-72,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,7.422122596357706e-21,0.0,0.0,8.841523103310823e-13,0.0,0.0,0.0,0.0,7.27530404296767e-305,5.328981271646128e-22,0.0,1.2160458201370291e-21,0.0,0.0,7.718457489622054e-26,0.0,0.0,0.0,6.356917416479453e-57,0.0,0.9999999999991163,0.0,0.0,0.0
Shrew_office_Sherill,1.2828473037283524e-141,0.0,1.0,7.656299551420383e-132,0.0,0.0,0.0,0.0,0.0,2.96860891008247e-131,0.0,8.405041620929262e-121,0.0,0.0,1.7362577901625607e-174,0.0,0.0,0.0,8.009421019642109e-119,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,1.0987403731859947e-49,0.0,0.0,2.9063502495575602e-05,0.0,0.0,0.0,0.0,1.5462423060664788e-214,0.07765707949889193,0.0,2.089517993860962e-13,0.0,0.0,0.9223138569984035,0.0,0.0,0.0,1.756021129959607e-50,0.0,5.596457582333244e-130,0.0,0.0,0.0
Shrew_office_Nora,4.4893476690232834e-69,0.0,0.0,5.3352381842696166e-73,0.0,0.0,0.0,0.0,0.0,6.5780910872172e-57,0.0,2.360346789204495e-72,1.0,0.0,4.634816077106745e-92,0.0,0.0,0.0,1.731005653718722e-107,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,5.12021894119433e-80,0.0,0.0,1.923953446037144e-75,0.0,0.0,0.0,0.0,0.0,3.0123969562420545e-71,1.0,5.051861102707171e-83,0.0,0.0,7.205656561572558e-46,0.0,0.0,0.0,9.850468890098062e-168,0.0,6.682040490494607e-91,0.0,0.0,0.0
Shrew_office_Ila,0.9999999868539788,0.0,0.0,1.313359512194327e-08,0.0,0.0,0.0,0.0,5.60259878957101e-205,1.2425370275719976e-11,0.0,1.218589186001725e-25,0.0,0.0,3.545676653704156e-18,0.0,0.0,0.0,1.5904652571220694e-33,0.0,6.873083059313331e-113,0.0,0.0,0.0
Shrew_office_Doug,9.119900004441538e-23,0.0,0.0,0.8889861229109436,0.0,0.0,0.0,0.0,2.084289075169749e-138,1.6949095955358093e-05,0.0,7.118942009961028e-23,0.0,0.0,0.11099692799310118,0.0,0.0,0.0,2.2913110716694415e-48,0.0,1.528614915665088e-237,0.0,0.0,0.0
Shrew_office_Doris,0.9999999999999929,0.0,0.0,7.003213821279052e-15,0.0,0.0,0.0,0.0,1.1431986143228547e-179,3.0417078231744996e-17,0.0,1.3996872792547368e-29,0.0,0.0,3.170225288560395e-25,0.0,0.0,0.0,6.3998598215380995e-31,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,4.817337785330439e-92,0.0,0.0,2.0809479160515485e-97,0.0,0.0,0.0,1.0,0.0,3.277062134867076e-100,0.0,2.5664433944229857e-95,0.0,0.0,1.5794174028639076e-133,0.0,0.0,0.0,1.3313524773602474e-108,0.0,8.006154248495099e-97,0.0,0.0,0.0
Shrew_office_Kenneth,2.2780853352721955e-39,0.0,0.0,5.315679917902234e-15,0.0,0.0,0.0,0.0,8.501821991130246e-255,0.9999997150022872,0.0,2.5368446002214724e-13,0.0,0.0,2.849974520620964e-07,0.0,0.0,0.0,6.2930566323010836e-62,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,1.0,0.0,1.0081915828415229e-172,0.0,0.0,0.0,0.0,0.0,2.7451224903687e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.91e-321,0.0,1.0283062759466691e-212,0.0,0.0,0.0,0.0,0.0,0.0,8.65475836174124e-250,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,3.1910443689735386e-38,0.0,0.0,3.162214102673745e-11,0.0,0.0,0.0,0.0,2.405114989694315e-184,7.134145766504882e-14,0.0,3.5428779287504794e-22,0.0,0.0,0.9999999999683062,0.0,0.0,0.0,1.0614470173301157e-73,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,1.4122345012064313e-189,0.0,1.0,0.0,0.0,0.0,3.648965015632092e-206,0.0,1.4884950720201987e-183,0.0,0.0,8.921495653297654e-307,0.0,0.0,0.0,2.4621993089498007e-166,0.0,4.141286464792617e-245,0.0,0.0,0.0
Mouse_health_Ileana,4.331741506699512e-23,0.0,0.0,0.9953410537620627,0.0,0.0,0.0,0.0,1.1894489844848856e-208,0.0018155377475656876,0.0,1.5468432701274377e-21,0.0,0.0,0.0028434084903719574,0.0,0.0,0.0,7.814100054870742e-52,0.0,2.176575139646066e-309,0.0,0.0,0.0
Mouse_health_Estela,3.1141129327855333e-104,0.0,0.0,1.585332710517447e-115,0.0,0.0,0.0,0.0,1.394589535349443e-200,3.1898754749964785e-115,0.0,1.2103567054343078e-77,0.0,0.0,4.897145719072823e-137,0.0,0.0,1.0,9.614318008364592e-73,0.0,1.0308451116772445e-301,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,6.082755143339564e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.002331131599867e-228,0.0,0.0,0.0
