,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47
Shrew_office_Sherill,0.0,0.0,0.0,1.2417014569555087e-269,0.0,0.0,0.0,0.0,3.7295067792680764e-276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.569323242442463e-305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,6.601013683891283e-14,0.0,0.0,0.0,0.0,5.3983465456062034e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086840142588377e-15,0.0,0.0,0.0,0.0,0.0,1.714511157762139e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9491221928881702e-133,0.0,0.0,0.0,0.0,0.9999460165344773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,1.5532936221892648e-141,0.0,0.0,0.0,0.0,4.212645720942602e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.808845349381682e-201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4747268676356636e-272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,6.357030594760312e-120,0.0,0.0,0.0,0.0,5.686581688407351e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7729126779489554e-181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,2.4407132783341215e-26,0.0,0.0,0.0,0.0,3.355195685959993e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4075044545929726e-84,0.0,0.0,0.0,0.0,0.0,6.607136738694632e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.51079257681816e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.9999999557125722,0.0,0.0,0.0,0.0,1.843282726204621e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.246211351165035e-14,0.0,0.0,0.0,0.0,0.0,1.2067080526987229e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.284961620927226e-42,0.0,0.0,0.0,0.0,2.5854508385617775e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,4.3812998968331756e-63,0.0,0.0,0.0,0.0,1.2789726938616873e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0373671279295224e-85,0.0,0.0,0.0,0.0,0.0,1.0248235345822025e-257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409985416384408e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,3.366689847096126e-198,0.0,0.0,1.0,0.0,2.814315805357677e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.386389720988525e-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.850770844632307e-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,4.1713707693026276e-102,0.0,0.0,0.0,0.0,7.493967301667105e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4477228318507366e-172,0.0,0.0,0.0,0.0,0.0,3.154343599574494e-146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12522124826485e-203,0.0,0.0,0.0,0.0,2.118501242243068e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,4.416748748448149e-81,0.0,0.0,0.0,0.0,1.3199302192012766e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1448556046902304e-126,0.0,0.0,0.0,0.0,0.0,3.925449839868409e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8280947594396776e-215,0.0,0.0,0.0,0.0,8.695906035168962e-177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,1.1129143005390037e-08,0.0,0.0,0.0,0.0,0.9999999888696642,0.0,0.0,0.0,0.0,0.0,0.0,3.0277179855617155e-204,0.0,1.2054925612131674e-34,0.0,0.0,0.0,0.0,0.0,6.989196324590815e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.288745050265463e-59,0.0,0.0,0.0,0.0,1.1927459680014115e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,1.314488626461128e-162,0.0,0.0,0.0,0.0,9.536558763825129e-182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576129686261e-311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
