,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47
Robin_education_Kiera,0.0,0.0,0.0,2.0520892811374865e-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128226191773552e-68,0.0,0.0,0.0,0.0,0.0,7.064190609281171e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3174716253478045e-48,0.0,0.0,0.0,0.0,3.0731766420069145e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,1.438628423482856e-69,0.0,0.0,0.0,0.0,3.75526719625482e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4679011251673336e-30,0.0,0.0,0.0,1.0,0.0,8.581604201840946e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4596032223990835e-35,0.0,0.0,0.0,0.0,4.2520863317567757e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,3.6550778249985727e-264,0.0,0.0,0.0,0.0,6.169122110748429e-173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.286247644621932e-243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.511676776576922e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,8.208779793322417e-56,0.0,0.0,0.0,0.0,3.735740110650968e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88647277013867e-104,0.0,0.0,0.0,0.0,0.0,4.81867887701651e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176e-321,0.0,0.0,0.0,4.920377299253641e-105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,1.3597501808807203e-14,0.0,0.0,0.0,0.0,0.9999789386080798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6486698646383484e-29,0.0,0.0,0.0,0.0,0.0,1.23077233746811e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0403134458224286e-14,0.0,0.0,0.0,0.0,2.106139185664217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,2.0813584891025717e-221,0.0,0.0,0.0,0.0,2.787176456359762e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.298584948864676e-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3668992520908754e-167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,8.054301502337373e-22,0.0,0.0,0.0,0.0,4.7233547593940127e-36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3161213959801857e-94,0.0,0.0,0.0,0.0,0.0,6.34941935383822e-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1495265182172422e-44,0.0,0.0,0.0,3.1590372095755035e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,1.7346560951203603e-07,0.0,0.0,0.0,0.0,2.345956311493878e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.825951947882328e-286,0.0,8.084011837506352e-17,0.0,0.0,0.0,0.0,0.0,6.072182531231132e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6449788901259547e-100,0.0,0.0,0.0,0.0,0.9999998262997949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.000137325139574366,0.0,0.0,0.0,0.0,4.919966013909108e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.8411251827603265e-287,0.0,1.2774183948696587e-32,0.0,0.0,0.0,0.0,0.0,4.3367636753966436e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0516998863262595e-29,0.0,0.0,0.0,0.0,0.9998621828638242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.9999999999999236,0.0,0.0,0.0,0.0,3.076860790347154e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303172925583837e-40,0.0,0.0,0.0,0.0,0.0,4.731613337715421e-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.553631666163448e-180,0.0,0.0,0.0,0.0,7.648901583747943e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,5.807610342350099e-88,0.0,0.0,0.0,0.0,1.190707819939816e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.862405553445649e-65,0.0,0.0,0.0,0.9999999999980602,0.0,9.18271383270453e-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.939738153405991e-12,0.0,0.0,0.0,0.0,2.216078129423938e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,5.4719689240637975e-25,0.0,0.0,0.0,0.0,0.999999999991442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2821056719197537e-70,0.0,0.0,0.0,0.0,0.0,5.094690626692519e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.558356708090499e-12,0.0,0.0,0.0,0.0,4.400714042611523e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,7.332005581319159e-105,0.0,0.0,0.0,0.0,2.8221709350585607e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.609422915583636e-187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0711652131551815e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,5.477196992066227e-90,0.0,0.0,0.0,0.0,6.830218135264209e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4647596627117726e-207,0.0,0.0,0.0,0.0,0.0,3.185902102843554e-238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.030895480771316e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
