,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22
Shrew_office_Rose,3.03457422442368e-07,1.7055852978272096e-50,0.0,0.0,2.175044070224388e-06,0.0,0.0,0.0041154062361461515,0.0,0.0,2.3108935486437853e-29,0.0,0.0,0.0002367933733823709,0.0,0.9956453218889798,0.0,0.0,1.5018327448981053e-214,0.0,5.435721331507949e-130,0.0,0.0
Shrew_office_Nora,3.0543472318822408e-59,1.7310133005912997e-107,0.0,0.0,3.2008445054685534e-97,0.0,0.0,8.5234240019208e-77,0.0,1.0,3.870806141903577e-54,0.0,0.0,8.05256633894449e-142,0.0,5.587049772083178e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Katherine,4.897602466847428e-72,9.850419662012715e-168,0.0,0.0,3.822859334623623e-102,0.0,0.0,1.0077756843327653e-68,0.0,0.0,1.885120235344754e-65,0.0,0.0,3.93273483631025e-74,0.0,1.2338444328489854e-60,0.0,0.0,0.0,1.0,6.682039683465811e-91,0.0,0.0
Shrew_office_Ila,3.845949077309115e-06,5.1375962906924136e-33,0.0,0.0,5.080813658788615e-62,0.0,0.0,1.2632434087453252e-09,0.0,0.0,0.9999961527844532,0.0,0.0,2.329734029960401e-19,0.0,3.226425484008407e-12,0.0,0.0,1.8097800899287995e-204,0.0,2.220178194648031e-112,0.0,0.0
Shrew_office_Doug,0.010648084519573893,1.2196931824555573e-48,0.0,0.0,6.546382405944938e-29,0.0,0.0,5.024254372202622e-07,0.0,0.0,4.1961659716064003e-14,0.0,0.0,0.9857769472263312,0.0,0.003574465828615906,0.0,0.0,1.109495097721339e-138,0.0,8.137021360387843e-238,0.0,0.0
Shrew_office_Doris,1.6180891911543476e-12,2.728653079595708e-31,0.0,0.0,1.860741535850807e-100,0.0,0.0,9.370085854061218e-15,0.0,0.0,0.9999999999983729,0.0,0.0,1.261219101444274e-24,0.0,1.7155752966928258e-20,0.0,0.0,4.874154354821753e-180,0.0,0.0,0.0,0.0
Shrew_office_Lin,6.292206779506959e-79,1.3313488837450837e-108,0.0,0.0,3.40182919073e-313,0.0,0.0,2.9203995910896354e-77,0.0,0.0,7.112015052648448e-72,0.0,0.0,2.4154057734634302e-130,0.0,2.0502123351838454e-111,0.0,0.0,0.0,0.0,8.006154784576156e-97,1.0,0.0
Shrew_office_Kenneth,7.628667008813969e-13,4.033300466618551e-64,0.0,0.0,0.9999999999604725,0.0,0.0,3.850685353283883e-11,0.0,0.0,8.537851753315116e-24,0.0,0.0,3.723877661384838e-35,0.0,2.5731954803287226e-13,0.0,0.0,5.4489282042323136e-257,0.0,0.0,0.0,0.0
Mouse_health_Buddy,2.033332027221713e-161,0.0,1.0,0.0,0.0,0.0,0.0,2.9240957408061217e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,7.388001998456466e-257,8.654722371317135e-250,0.0,1.0,0.0,0.0,0.0,3.8133150919116973e-199,0.0,0.0,3.13935377903e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,1.0079968912760068e-09,8.969937608973438e-74,0.0,0.0,6.6978409015010404e-15,0.0,0.0,3.0785170228223324e-15,0.0,0.0,2.7548839209789822e-22,0.0,0.0,6.721565765167072e-22,0.0,0.9999999989919939,0.0,0.0,2.0324859715597808e-184,0.0,0.0,0.0,0.0
Mouse_health_Justin,3.3646154418098774e-141,2.4621606779660066e-166,0.0,0.0,0.0,0.0,0.0,1.4841783641345511e-179,0.0,0.0,2.0262387362594717e-299,0.0,0.0,0.0,1.0,8.099958944916834e-230,0.0,0.0,0.0,0.0,4.141286061304433e-245,0.0,0.0
Mouse_health_Ileana,0.012150849693831367,5.307048986457299e-52,0.0,0.0,9.283737359065193e-19,0.0,0.0,6.6613862788046515e-06,0.0,0.0,1.3565498491784148e-14,0.0,0.0,8.609498992367871e-12,0.0,0.9878424889112672,0.0,0.0,8.078325684529965e-209,0.0,1.47825418165319e-309,0.0,0.0
Mouse_health_Estela,1.183104292549234e-91,9.614317647796783e-73,0.0,0.0,5.812210554683894e-280,0.0,0.0,2.9826675383706614e-74,0.0,0.0,4.9899379930632835e-79,1.0,0.0,2.365956824454017e-139,0.0,2.3492136477947855e-98,0.0,0.0,1.394589535349443e-200,0.0,1.0308449727057781e-301,0.0,0.0
Mouse_science_Micheal,5.964673594739319e-183,0.0,0.0,0.0,0.0,0.0,0.0,5.9585088455503446e-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.002331033534037e-228,0.0,0.0
